borough,community_board,permit_year,total_permits,new_buildings,major_alterations,avg_approval_lag,permit_growth_yoy,permits_3yr_avg
Manhattan,101.0,2016,1,1,0,13.0,,1.0
Manhattan,101.0,2017,1,1,0,0.0,0.0,1.0
Manhattan,102.0,2017,1,1,0,0.0,,1.0
Manhattan,102.0,2019,2,2,0,0.0,1.0,1.5
Manhattan,103.0,2015,2,2,0,1.0,,2.0
Manhattan,103.0,2016,1,1,0,1.0,-0.5,1.5
Manhattan,103.0,2017,1,1,0,0.0,0.0,1.3333333333333333
Manhattan,103.0,2018,2,2,0,0.0,1.0,1.3333333333333333
Manhattan,103.0,2020,1,1,0,0.0,-0.5,1.3333333333333333
Manhattan,104.0,2017,1,1,0,0.0,,1.0
Manhattan,104.0,2018,1,1,0,0.0,0.0,1.0
Manhattan,104.0,2019,3,3,0,0.0,2.0,1.6666666666666667
Manhattan,104.0,2020,1,1,0,1.0,-0.6666666666666667,1.6666666666666667
Manhattan,105.0,2015,1,1,0,0.0,,1.0
Manhattan,105.0,2016,1,1,0,0.0,0.0,1.0
Manhattan,105.0,2017,2,2,0,0.5,1.0,1.3333333333333333
Manhattan,105.0,2018,2,2,0,0.0,0.0,1.6666666666666667
Manhattan,105.0,2019,1,1,0,0.0,-0.5,1.6666666666666667
Manhattan,106.0,2019,1,1,0,0.0,,1.0
Manhattan,107.0,2019,1,1,0,0.0,,1.0
Manhattan,108.0,2015,1,1,0,0.0,,1.0
Manhattan,108.0,2016,1,1,0,0.0,0.0,1.0
Manhattan,108.0,2017,1,1,0,0.0,0.0,1.0
Manhattan,108.0,2020,2,2,0,4.5,1.0,1.3333333333333333
Manhattan,109.0,2018,1,1,0,0.0,,1.0
Manhattan,110.0,2015,1,1,0,0.0,,1.0
Manhattan,110.0,2020,1,1,0,3.0,0.0,1.0
Manhattan,111.0,2016,1,1,0,0.0,,1.0
Manhattan,111.0,2019,1,1,0,0.0,0.0,1.0
Manhattan,112.0,2016,1,1,0,0.0,,1.0
Queens,401.0,2015,2,2,0,84.5,,2.0
Queens,401.0,2016,2,2,0,0.0,0.0,2.0
Queens,401.0,2017,3,3,0,0.0,0.5,2.3333333333333335
Queens,401.0,2018,1,1,0,0.0,-0.6666666666666667,2.0
