borough,bin,block,lot,community_board,filing_date,issuance_date,permit_type,job_type,permit_year,permit_month,approval_lag_days,is_new_building
Bronx,2015133,3237,60,207.0,2019-08-06,2019-10-07,NB,NB,2019,8,62.0,1
Brooklyn,3421511,4452,413,305.0,2016-09-08,2016-09-08,NB,NB,2016,9,0.0,1
Brooklyn,3403583,3154,36,304.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Manhattan,1090374,838,10,105.0,2017-08-30,2017-08-31,NB,NB,2017,8,1.0,1
Staten Island,5165191,5204,14,503.0,2016-07-13,2016-07-25,NB,NB,2016,7,12.0,1
Manhattan,1080924,1050,1,104.0,2019-10-08,2019-10-08,NB,NB,2019,10,0.0,1
Brooklyn,3062160,2333,18,301.0,2017-06-23,2017-06-23,NB,NB,2017,6,0.0,1
Brooklyn,3423327,1593,23,303.0,2015-10-08,2015-10-08,NB,NB,2015,10,0.0,1
Manhattan,1089765,490,28,102.0,2017-07-12,2017-07-12,NB,NB,2017,7,0.0,1
Staten Island,5863505,7094,58,503.0,2016-06-21,2016-06-21,NB,NB,2016,6,0.0,1
Manhattan,1001244,89,3,101.0,2017-02-24,2017-02-24,NB,NB,2017,2,0.0,1
Brooklyn,3330686,1254,26,308.0,2016-01-19,2016-01-19,NB,NB,2016,1,0.0,1
Bronx,2128909,3028,48,206.0,2016-03-25,2016-03-25,NB,NB,2016,3,0.0,1
Manhattan,1089434,1485,15,108.0,2016-12-16,2016-12-16,NB,NB,2016,12,0.0,1
Bronx,2124426,3731,33,209.0,2015-01-22,2015-01-22,NB,NB,2015,1,0.0,1
Queens,4154426,7184,1,408.0,2015-09-04,2015-09-04,NB,NB,2015,9,0.0,1
Brooklyn,3404966,1871,30,303.0,2017-03-15,2017-03-15,NB,NB,2017,3,0.0,1
Brooklyn,3411833,4124,31,305.0,2019-10-11,2019-10-11,NB,NB,2019,10,0.0,1
Brooklyn,3205375,7473,9,315.0,2017-09-06,2017-09-06,NB,NB,2017,9,0.0,1
Bronx,2042481,4008,1,206.0,2016-04-22,2016-04-22,NB,NB,2016,4,0.0,1
Queens,4616955,15609,10,414.0,2017-08-25,2017-08-25,NB,NB,2017,8,0.0,1
