borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
QUEENS,4536589,10146,00033,412,2018-08-17 ,2018-08-17 ,NB,NB
STATEN ISLAND,5860006,07868,00019,503,2018-08-17 ,2018-08-20 ,NB,NB
BRONX,2128359,03060,00003,206,2018-08-08 ,2018-08-08 ,NB,NB
MANHATTAN,1090067,01034,00044,104,2018-08-07 ,2018-08-07 ,NB,NB
BROOKLYN,3192056,07109,00072,315,2018-07-25 ,2018-07-25 ,NB,NB
BROOKLYN,3426817,02357,00001,301,2018-07-25 ,2018-07-25 ,NB,NB
QUEENS,4615947,15910,00066,414,2018-07-19 ,2018-07-19 ,NB,NB
BROOKLYN,3063978,02505,00050,301,2018-07-19 ,2018-07-19 ,NB,NB
MANHATTAN,1082350,01989,00001,109,2018-07-17 ,2018-07-17 ,NB,NB
BROOKLYN,3424859,00187,00017,302,2018-07-11 ,2018-07-11 ,NB,NB
BROOKLYN,3425049,02414,00002,301,2018-07-10 ,2018-07-13 ,NB,NB
BROOKLYN,3855901,00042,00016,302,2018-07-05 ,2018-07-05 ,NB,NB
BROOKLYN,3057751,02017,00008,303,2018-06-26 ,2018-06-26 ,NB,NB
STATEN ISLAND,5164075,04633,00261,503,2018-06-26 ,2018-06-26 ,NB,NB
BROOKLYN,3425055,05968,00069,310,2018-06-22 ,2018-06-22 ,NB,NB
QUEENS,4622995,00573,00045,401,2018-06-21 ,2018-06-21 ,NB,NB
BROOKLYN,3160445,06230,00039,311,2018-06-19 ,2018-06-19 ,NB,NB
BROOKLYN,3418117,01390,00016,308,2018-06-19 ,2018-06-19 ,NB,NB
BROOKLYN,3856329,01664,00077,303,2018-06-15 ,2018-06-15 ,NB,NB
BROOKLYN,3171719,06541,00035,312,2018-06-05 ,2018-06-05 ,NB,NB
QUEENS,4619543,13986,00004,410,2018-05-29 ,2018-05-29 ,NB,NB
BROOKLYN,3421801,04062,00030,305,2018-05-25 ,2018-05-25 ,NB,NB
BROOKLYN,3426035,01747,00002,303,2018-05-15 ,2018-05-15 ,NB,NB
BROOKLYN,3422390,03377,00032,304,2018-05-14 ,2018-05-23 ,NB,NB
BROOKLYN,3321848,08883,00962,315,2018-05-10 ,2018-05-11 ,NB,NB
QUEENS,4107521,04737,00054,407,2018-05-08 ,2018-05-15 ,NB,NB
QUEENS,4615421,03582,00016,405,2018-05-08 ,2018-05-15 ,NB,NB
STATEN ISLAND,5169765,01700,00082,501,2018-05-03 ,2018-05-03 ,NB,NB
MANHATTAN,1090375,00412,00012,103,2018-04-25 ,2018-04-25 ,NB,NB
QUEENS,4607502,10816,00039,412,2018-04-20 ,2018-04-20 ,NB,NB
STATEN ISLAND,5170294,01086,00098,501,2018-04-17 ,2018-04-17 ,NB,NB
MANHATTAN,1003688,00285,00008,103,2018-04-16 ,2018-04-16 ,NB,NB
BROOKLYN,3006423,00403,00020,306,2018-04-11 ,2018-04-11 ,NB,NB
STATEN ISLAND,5169047,03736,00026,502,2018-04-05 ,2018-04-05 ,NB,NB
MANHATTAN,1018013,00878,00015,105,2018-04-03 ,2018-04-03 ,NB,NB
